dia,mes,anio,Tmax,Tmin
1,1,1959,25.6,11.6
2,1,1959,26.2,16.4
3,1,1959,27.3,18.8
4,1,1959,25.4,16.6
5,1,1959,21.6,10.7
6,1,1959,22.8,12.2
7,1,1959,27.6,12.8
8,1,1959,31.8,15.4
9,1,1959,23.5,12.4
10,1,1959,29.9,10.3
11,1,1959,29,15.7
12,1,1959,31.6,16.8
13,1,1959,31.6,16.6
14,1,1959,29.9,18.8
15,1,1959,28.5,19.9
16,1,1959,21.9,18
17,1,1959,24.3,14.7
18,1,1959,30.3,13.4
19,1,1959,28.5,15.3
20,1,1959,29.8,16.8
21,1,1959,30.9,13.7
22,1,1959,31.9,16
23,1,1959,33.1,16.2
24,1,1959,33.9,19.2
25,1,1959,31,17.6
26,1,1959,26.5,17.1
27,1,1959,28.6,18.5
28,1,1959,27.5,16.2
29,1,1959,27.2,16.2
30,1,1959,25.9,12.5
31,1,1959,30.1,15.8
1,2,1959,,15.8
2,2,1959,,20.8
3,2,1959,,21.2
4,2,1959,,23.4
5,2,1959,,19.2
6,2,1959,,8.5
7,2,1959,,9
8,2,1959,,18.3
9,2,1959,,17.7
10,2,1959,,14.7
11,2,1959,,12.3
12,2,1959,,8.1
13,2,1959,,18
14,2,1959,,11.8
15,2,1959,,15.1
16,2,1959,,18.4
17,2,1959,,19.8
18,2,1959,,15.8
19,2,1959,,13
20,2,1959,,15.8
21,2,1959,,17.2
22,2,1959,,15.4
23,2,1959,,17.1
24,2,1959,,18.9
25,2,1959,,21.1
26,2,1959,,21
27,2,1959,,23.2
28,2,1959,,20.7
1,3,1959,31.8,21.7
2,3,1959,34.9,18.8
3,3,1959,25.1,16.4
4,3,1959,29.6,16.8
5,3,1959,23.5,14.6
6,3,1959,25.7,11.6
7,3,1959,28.4,15.5
8,3,1959,27.8,17
9,3,1959,21.8,14
10,3,1959,20.3,5.3
11,3,1959,19.6,10.4
12,3,1959,20,15
13,3,1959,27.4,10.1
14,3,1959,29.1,12.8
15,3,1959,27.6,13.6
16,3,1959,22.8,16.5
17,3,1959,20.6,5.4
18,3,1959,20.8,3.8
19,3,1959,23.5,5.8
20,3,1959,23.2,11.1
21,3,1959,25,14.1
22,3,1959,28.7,15.6
23,3,1959,30.4,17.6
24,3,1959,27.2,19
25,3,1959,30,17.8
26,3,1959,24.5,13
27,3,1959,21,9.8
28,3,1959,25.2,16.9
29,3,1959,25.7,13
30,3,1959,24,18
31,3,1959,28.6,18.7
1,4,1959,24,17.9
2,4,1959,20.2,10.9
3,4,1959,18.3,2.8
4,4,1959,20.4,6.3
5,4,1959,20.1,9.2
6,4,1959,21.4,7.2
7,4,1959,22.2,16.3
8,4,1959,20.6,14.7
9,4,1959,22,16.3
10,4,1959,22.7,8.7
11,4,1959,24.8,13.7
12,4,1959,22.4,19
13,4,1959,20.5,15.9
14,4,1959,16.1,11.6
15,4,1959,13.1,9.1
16,4,1959,17.4,10.1
17,4,1959,19.7,7
18,4,1959,19.6,12.4
19,4,1959,21.8,12
20,4,1959,20.5,5.8
21,4,1959,20.2,13.1
22,4,1959,18.7,11.4
23,4,1959,13.8,2.6
24,4,1959,17,4.5
25,4,1959,12,7.6
26,4,1959,14.2,4
27,4,1959,16.3,1.7
28,4,1959,17.9,5.9
29,4,1959,19.6,12.1
30,4,1959,16.8,8.6
1,5,1959,14.4,3.5
2,5,1959,15,7.6
3,5,1959,17.9,2
4,5,1959,20,4.9
5,5,1959,25.5,8.6
6,5,1959,25,10.4
7,5,1959,27.1,14.9
8,5,1959,19.3,13.2
9,5,1959,13.6,9.6
10,5,1959,12.3,10
11,5,1959,11.6,3.5
12,5,1959,12.6,-0.4
13,5,1959,14.3,1.1
14,5,1959,14,5
15,5,1959,17.7,10.2
16,5,1959,19.6,2.3
17,5,1959,12.2,10
18,5,1959,10.9,3
19,5,1959,13.2,-0.7
20,5,1959,14.5,-0.4
21,5,1959,14.3,3.1
22,5,1959,16.7,1.3
23,5,1959,20,2.8
24,5,1959,21.2,8.9
25,5,1959,21.2,5.1
26,5,1959,22.7,7.4
27,5,1959,19.2,11.2
28,5,1959,19.4,11
29,5,1959,18.4,11.2
30,5,1959,14.6,8.3
31,5,1959,17,8.8
1,6,1959,17.4,10
2,6,1959,15,2.5
3,6,1959,12.8,8.3
4,6,1959,13.2,10.1
5,6,1959,10.2,5.1
6,6,1959,14.4,0.7
7,6,1959,17.8,3.6
8,6,1959,12.5,6
9,6,1959,13,0
10,6,1959,14.4,2.8
11,6,1959,15.5,5
12,6,1959,11.1,1.3
13,6,1959,12,3.5
14,6,1959,15.2,2.4
15,6,1959,15.1,-1.5
16,6,1959,13.9,2.9
17,6,1959,16.4,6.4
18,6,1959,17.8,11.7
19,6,1959,14.2,-0.1
20,6,1959,16,9.8
21,6,1959,10,5.6
22,6,1959,11.5,5.8
23,6,1959,12.7,1.4
24,6,1959,12,4.7
25,6,1959,12.6,8.4
26,6,1959,13.8,2.6
27,6,1959,16.3,2.8
28,6,1959,15,9.9
